x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
47214.985923569184,79292.47137662502,76628.19502963661,53638.495965528295,35060.53048165091,29393.398099114886,23326.8271419039,21661.281000235762,23918.733796976856,27597.704274618383,32876.29935289647,35551.49337965181
55606.41236863872,65336.54300439932,76520.67566265223,63852.57142784958,46538.152274420565,36669.68188720034,30384.208602776824,20965.19867468683,22798.99481957496,25886.161891161362,28243.16029337004,48478.320245493596
69574.91653103563,62149.70773952041,64498.565202684375,52146.37335200762,50818.690427447116,37058.42084947628,29431.198563476475,20630.63350260475,20820.22381936097,22885.025332724665,35143.86308663902,77252.69520322692
72843.17023060893,76610.19730585757,75461.84441112251,51495.451522131276,29497.205722009796,32985.91052267089,22485.06226784816,17987.707152306306,14214.160413581625,19055.74736086731,23766.303473104963,31828.759659882595
64237.76606993837,51951.56340767343,46002.73444964635,41953.01917342752,36567.93334727597,32254.12797963018,24550.97155759498,19669.35113169232,17510.292663084943,25219.476810208944,33839.27582197307,49962.95818372311
72945.79437286584,92086.24717463614,69362.91381687684,56459.341379310914,38254.612902108674,31776.32709511747,24997.244651797522,28698.99272200447,26445.536951062302,30676.09645328709,35084.60085849507,52112.43942396183
70331.00436738505,83794.0093554223,88420.09313907629,61662.324658357276,36834.383009242934,26936.153575207012,18182.417125535772,14308.22751035108,16448.531677900675,20481.942162425203,28127.152678322207,48931.58156785482
72178.83514352048,59187.0908058156,54543.49202280923,39937.284097131036,30543.737136139258,33467.39266602541,28773.826188617495,20803.494960879107,15423.77381915508,17665.599412805746,25929.262306428976,29253.978023653992
58816.944938309956,52325.46677597193,67738.83152471401,42638.121364380866,30641.179374511667,24007.4605377304,16487.892549391785,13338.138111926208,17204.894896824764,20556.85174772772,21580.982248418994,31449.53502736856
56097.12543860745,64974.75348152914,56483.87806724696,52248.11776377634,42566.473817619415,35438.077555245334,31650.278960718962,29903.784504143976,25967.48909516446,33517.586934864165,53401.6910379802,98279.35275154108
72654.56361918832,64240.17438791163,67887.9121008359,44661.04659341184,24264.963875984602,25957.041687323843,26539.01488254964,19524.93224672201,19940.03860973198,26788.26900111818,38299.47678705046,47971.841257732856
67073.98406790239,73081.23478236295,63244.3429581135,63600.18083275221,49104.76935669804,39313.91821871436,33184.98081255613,26222.00749724855,18478.066967794508,25747.746102178553,38506.33275643045,51567.24743466261
61197.21559034363,76111.20816118112,63549.0908120328,42800.935585567815,32622.337183533957,26646.562816075057,23800.712006319864,18530.946470409126,19170.22388819036,20943.76285462404,25723.338177905745,41227.73327932723
89461.09552522798,106475.70606397632,98298.3665051873,83400.1555419209,60761.73139029203,41391.32790988059,25808.96497771054,23757.51110178855,18478.000225689844,26349.02723053337,31879.84054496845,46166.16389866597
63025.88376637753,64612.400212146276,65342.574486297926,53455.593500979536,42532.4528112991,28649.56488093359,23953.956256292426,17213.31314249004,16705.880536205124,23546.25423242749,36971.63695289062,54069.21039573886
65149.69596003044,76057.6766130566,114424.76276845453,78740.55286103915,50293.87119723686,36608.48154389689,34971.967504635126,31854.003153176574,26037.950605021735,27710.212456641217,38778.82569895391,62432.7372326961
86488.78206290977,75030.72345447964,92186.87039907371,72254.44385379743,58025.10588347272,49891.85819142016,30044.989244846252,20916.671109866267,19538.46019609459,18231.218428005326,27859.349347267464,34204.44897694159
46838.72018161605,45462.66936437636,52928.23854718874,44825.98078243531,33638.32964548281,24071.331804224654,21164.42357461171,13488.481960968471,15075.33658375927,26522.42656299608,29280.23393330989,35838.221984893426
55024.38732719725,71826.0231670716,59162.40772889346,48489.9248617818,32463.93786812025,29733.199062232554,27284.028067601106,24668.61149342833,22490.811341681358,21104.8582666699,31939.958612762053,45715.934303893555
70300.359471162,78864.02382621523,60727.027164601204,39379.3423356392,23958.67924761757,24165.548680845975,16101.66319248898,14110.905608367848,15450.343007542107,20441.8693329499,32323.33836669763,51588.63895241158
71374.24897151924,55698.42843991799,45651.38565316407,32472.562896419604,24230.31179395549,21361.265652111037,19226.086838147196,14894.651853321628,21651.807230342303,24694.423401302905,31247.89909025445,36503.84751214564
57376.52260584003,69791.38307460112,75709.54184496077,49628.71032308583,37593.47096994728,30323.42583302131,28239.859540267218,21347.015574241752,14150.98791178453,19344.342757500657,26016.881048814143,56539.36320660233
77366.61372238511,77466.38669572452,84839.35623084525,65144.304756584446,41868.893032396125,30318.03062072916,26276.043241289484,18875.94049672723,15730.327248831158,17585.854982287492,23253.032574690384,54804.764077123735
70535.34451807875,74751.13370198314,74695.26664133064,62702.77484698284,44855.74585887765,36319.8953793164,28318.014268828934,22038.92563876507,18125.92933520149,24628.424486963286,32256.198059327453,47353.64682427818
67715.72890919438,79693.46057205177,63224.60225408255,58130.67901780717,56897.396336832964,36062.93267556807,22144.282709364044,18657.559933998084,15787.186829773482,17830.086356644253,24614.467511328527,37994.74484222711
